"Time","Left.Thalamus.Proper"
4.48,6269.27990099218
4.49,6269.22718854566
4.5,6269.17455459822
4.51,6269.12192065078
4.52,6269.06928670334
4.53,6269.0166527559
4.54,6268.96401880846
4.55,6268.91138486102
4.56,6268.85875091358
4.57,6268.80611696614
4.58,6268.7534830187
4.59,6268.7009513821
4.6,6268.64844546435
4.61,6268.59593954661
4.62,6268.54343362886
4.63,6268.49092771111
4.64,6268.43842179337
4.65,6268.38591587562
4.66,6268.33340995788
4.67,6268.28090404013
4.68,6268.22842552003
4.69,6268.1760480346
4.7,6268.12367054916
4.71,6268.07129306372
4.72,6268.01891557828
4.73,6267.96653809284
4.74,6267.9141606074
4.75,6267.86178312196
4.76,6267.80940563652
4.77,6267.75702815109
4.78,6267.70473151053
4.79,6267.65248285553
4.8,6267.60023420053
4.81,6267.54798554553
4.82,6267.49573689053
4.83,6267.44348823553
4.84,6267.39123958053
4.85,6267.33899092553
4.86,6267.28674227053
4.87,6267.23449900869
4.88,6267.18237957778
4.89,6267.13026014686
4.9,6267.07814071595
4.91,6267.02602128503
4.92,6266.97390185412
4.93,6266.9217824232
4.94,6266.86966299229
4.95,6266.81754356137
4.96,6266.76542413046
4.97,6266.71336379548
4.98,6266.6613739778
4.99,6266.60938416012
5,6266.55739434244
5.01,6266.50540452476
5.02,6266.45341470708
5.03,6266.4014248894
5.04,6266.34943507172
5.05,6266.29744525404
5.06,6266.24545543636
5.07,6266.19357873586
5.08,6266.14171891607
5.09,6266.08985909628
5.1,6266.03799927649
5.11,6265.9861394567
5.12,6265.93427963691
5.13,6265.88241981713
5.14,6265.83055999734
5.15,6265.77870017755
5.16,6265.72687743101
5.17,6265.67514798926
5.18,6265.62341854751
5.19,6265.57168910577
5.2,6265.51995966402
5.21,6265.46823022228
5.22,6265.41650078053
5.23,6265.36477133878
5.24,6265.31304189704
5.25,6265.26131245529
5.26,6265.20967435253
5.27,6265.15807566447
5.28,6265.10647697642
5.29,6265.05487828836
5.3,6265.0032796003
5.31,6264.95168091225
5.32,6264.90008222419
5.33,6264.84848353614
5.34,6264.79688484808
5.35,6264.74530094608
5.36,6264.69383338286
5.37,6264.64236581963
5.38,6264.5908982564
5.39,6264.53943069317
5.4,6264.48796312994
