"Time","P_D1D2"
-36.53,-213340.109582276
-36.52,-213239.053474642
-36.51,-213137.997367008
-36.5,-213036.941259374
-36.49,-212935.885151741
-36.48,-212834.689127006
-36.47,-212733.328162579
-36.46,-212631.967198151
-36.45,-212530.606233724
-36.44,-212429.245269297
-36.43,-212327.88430487
-36.42,-212226.523340443
-36.41,-212125.162376016
-36.4,-212023.801411588
-36.39,-211922.440447161
-36.38,-211821.079482734
-36.37,-211719.621006012
-36.36,-211617.954894833
-36.35,-211516.288783653
-36.34,-211414.622672474
-36.33,-211312.956561295
-36.32,-211211.290450116
-36.31,-211109.624338936
-36.3,-211007.958227757
-36.29,-210906.292116578
-36.28,-210804.626005398
-36.27,-210702.959894219
-36.26,-210601.238756917
-36.25,-210499.26721194
-36.24,-210397.295666963
-36.23,-210295.324121985
-36.22,-210193.352577008
-36.21,-210091.381032031
-36.2,-209989.409487053
-36.19,-209887.437942076
-36.18,-209785.466397099
-36.17,-209683.494852121
-36.16,-209581.523307144
-36.15,-209479.539302366
-36.14,-209377.262039471
-36.13,-209274.984776577
-36.12,-209172.707513683
-36.11,-209070.430250788
-36.1,-208968.152987894
-36.09,-208865.875725
-36.08,-208763.598462105
-36.07,-208661.321199211
-36.06,-208559.043936317
-36.05,-208456.766673423
-36.04,-208354.489410528
-36.03,-208251.936333982
-36.02,-208149.353071993
-36.01,-208046.769810004
-36,-207944.186548014
-35.99,-207841.603286025
-35.98,-207739.020024036
-35.97,-207636.436762047
-35.96,-207533.853500058
-35.95,-207431.270238068
-35.94,-207328.686976079
-35.93,-207226.10371409
-35.92,-207123.28708316
-35.91,-207020.397543853
-35.9,-206917.508004546
-35.89,-206814.618465239
-35.88,-206711.728925932
-35.87,-206608.839386624
-35.86,-206505.949847317
-35.85,-206403.06030801
-35.84,-206300.170768703
-35.83,-206197.281229396
-35.82,-206094.391690089
-35.81,-205991.31130597
-35.8,-205888.115214091
-35.79,-205784.919122212
-35.78,-205681.723030333
-35.77,-205578.526938454
-35.76,-205475.330846576
-35.75,-205372.134754697
-35.74,-205268.938662818
-35.73,-205165.742570939
-35.72,-205062.54647906
-35.71,-204959.350387182
-35.7,-204856.006052802
-35.69,-204752.503136081
-35.68,-204649.000219359
-35.67,-204545.497302638
-35.66,-204441.994385916
-35.65,-204338.491469195
-35.64,-204234.988552474
-35.63,-204131.485635752
-35.62,-204027.982719031
-35.61,-203924.479802309
-35.6,-203820.976885588
-35.59,-203717.368405617
-35.58,-203613.558394779
-35.57,-203509.748383941
-35.56,-203405.938373104
-35.55,-203302.128362266
-35.54,-203198.318351428
-35.53,-203094.50834059
