"Time","Right.Amygdala"
9.55,915.964942893036
9.56,915.942681435061
9.57,915.920422293491
9.58,915.898167692603
9.59,915.875913091715
9.6,915.853658490827
9.61,915.831403889939
9.62,915.809149289051
9.63,915.786894688163
9.64,915.764640087275
9.65,915.742385486387
9.66,915.7201308855
9.67,915.697881404946
9.68,915.675633612853
9.69,915.653385820761
9.7,915.631138028669
9.71,915.608890236576
9.72,915.586642444484
9.73,915.564394652392
9.74,915.542146860299
9.75,915.519899068207
9.76,915.497652399875
9.77,915.475411368329
9.78,915.453170336783
9.79,915.430929305237
9.8,915.408688273692
9.81,915.386447242146
9.82,915.3642062106
9.83,915.341965179054
9.84,915.319724147509
9.85,915.297483115963
9.86,915.275245980453
9.87,915.253011661248
9.88,915.230777342042
9.89,915.208543022836
9.9,915.186308703631
9.91,915.164074384425
9.92,915.14184006522
9.93,915.119605746014
9.94,915.097371426809
9.95,915.075137107603
9.96,915.052909416817
9.97,915.030681761788
9.98,915.008454106759
9.99,914.986226451729
10,914.9639987967
10.01,914.941771141671
10.02,914.919543486641
10.03,914.897315831612
10.04,914.875088176583
10.05,914.852863226462
10.06,914.830642187487
10.07,914.808421148512
10.08,914.786200109538
10.09,914.763979070563
10.1,914.741758031588
10.11,914.719536992613
10.12,914.697315953638
10.13,914.675094914663
10.14,914.652873875688
10.15,914.630658242457
10.16,914.608443771456
10.17,914.586229300456
10.18,914.564014829455
10.19,914.541800358455
10.2,914.519585887454
10.21,914.497371416453
10.22,914.475156945453
10.23,914.452942474452
10.24,914.430729550316
10.25,914.408521599251
10.26,914.386313648186
10.27,914.364105697122
10.28,914.341897746057
10.29,914.319689794992
10.3,914.297481843927
10.31,914.275273892862
10.32,914.253065941797
10.33,914.230857990733
10.34,914.208654255858
10.35,914.186452776732
10.36,914.164251297605
10.37,914.142049818479
10.38,914.119848339352
10.39,914.097646860225
10.4,914.075445381099
10.41,914.053243901972
10.42,914.031042422846
10.43,914.008841365536
10.44,913.986646310391
10.45,913.964451255246
10.46,913.942256200101
10.47,913.920061144957
10.48,913.897866089812
10.49,913.875671034667
10.5,913.853475979522
10.51,913.831280924378
10.52,913.809085869233
10.53,913.786893873761
10.54,913.764705194681
10.55,913.742516515602
10.56,913.720327836523
10.57,913.698139157444
10.58,913.675950478365
10.59,913.653761799286
10.6,913.631573120207
10.61,913.609384441128
10.62,913.587195762049
10.63,913.56501274084
10.64,913.542830389951
10.65,913.520648039062
10.66,913.498465688173
10.67,913.476283337284
10.68,913.454100986394
10.69,913.431918635505
10.7,913.409736284616
10.71,913.387553933727
10.72,913.365373518944
10.73,913.343197448408
10.74,913.321021377873
10.75,913.298845307338
10.76,913.276669236803
10.77,913.254493166268
10.78,913.232317095733
10.79,913.210141025198
10.8,913.187964954662
10.81,913.165788884127
10.82,913.143617316524
10.83,913.121447478546
10.84,913.099277640569
10.85,913.077107802592
10.86,913.054937964614
10.87,913.032768126637
10.88,913.010598288659
10.89,912.988428450682
10.9,912.966258612705
10.91,912.944089620134
10.92,912.921925966957
10.93,912.899762313781
10.94,912.877598660604
10.95,912.855435007427
10.96,912.833271354251
10.97,912.811107701074
10.98,912.788944047898
10.99,912.766780394721
11,912.744616741544
11.01,912.722456469266
11.02,912.700298953172
11.03,912.678141437079
11.04,912.655983920985
11.05,912.633826404891
11.06,912.611668888797
11.07,912.589511372703
11.08,912.56735385661
11.09,912.545196340516
11.1,912.523038824422
11.11,912.500887185226
11.12,912.478735758535
11.13,912.456584331845
11.14,912.434432905155
11.15,912.412281478464
11.16,912.390130051774
11.17,912.367978625084
11.18,912.345827198394
11.19,912.323675771703
11.2,912.301526636702
11.21,912.279381251774
11.22,912.257235866846
11.23,912.235090481919
11.24,912.212945096991
11.25,912.190799712063
11.26,912.168654327136
11.27,912.146508942208
11.28,912.124363557281
11.29,912.102218172353
11.3,912.080077543873
11.31,912.057938153105
11.32,912.035798762337
11.33,912.013659371569
11.34,911.991519980801
11.35,911.969380590033
11.36,911.947241199265
11.37,911.925101808498
11.38,911.90296241773
11.39,911.880824262184
11.4,911.858690818011
11.41,911.836557373838
11.42,911.814423929665
11.43,911.792290485491
11.44,911.770157041318
11.45,911.748023597145
11.46,911.725890152972
11.47,911.703756708799
11.48,911.681623264626
11.49,911.659493489229
11.5,911.637365944123
11.51,911.615238399017
11.52,911.593110853911
11.53,911.570983308805
11.54,911.548855763699
11.55,911.526728218593
11.56,911.504600673487
11.57,911.482473128381
11.58,911.460345794696
11.59,911.438224101167
11.6,911.416102407637
11.61,911.393980714108
11.62,911.371859020578
11.63,911.349737327049
11.64,911.32761563352
11.65,911.30549393999
11.66,911.283372246461
11.67,911.261250552932
11.68,911.239131473209
11.69,911.217015583803
11.7,911.194899694396
11.71,911.17278380499
11.72,911.150667915584
11.73,911.128552026177
11.74,911.106436136771
11.75,911.084320247365
11.76,911.062204357959
11.77,911.040088468552
11.78,911.017977556059
11.79,910.995867423359
11.8,910.973757290659
11.81,910.951647157958
11.82,910.929537025258
